Date, Timestamp,Light Power Meter: Irradiance (mW/cm2),Cl2 LabJack: Cl2 Node A (mV),Cl2 LabJack: Cl2 Node B (mV),Reactor TC: Temperature,UV Light: Status Selection,UV Light: Actual Status,FTIR: CH4 (ppm),FTIR: CO2 (ppm),FTIR: H2O (%),FTIR: CO (ppm),FTIR: HCL (ppm),FTIR: CH2O (ppm),FTIR: CH2O2 (ppm),FTIR: CH3Cl (ppm),FTIR: NO (ppm),FTIR: NH3 (ppm),FTIR: Toluene (ppm),Picarro: CH4 (ppm),Picarro: CO2 (ppm),Picarro: H2O (vol %),Methane MFC: Gas Selection,Methane MFC: Mode Selection,Methane MFC: Setpoint Entry,Methane MFC: Device Gas,Methane MFC: Device Mode,Methane MFC: Device Setpoint,Methane MFC: Actual Flow,LF N2 MFC: Gas Selection,LF N2 MFC: Mode Selection,LF N2 MFC: Setpoint Entry,LF N2 MFC: Device Gas,LF N2 MFC: Device Mode,LF N2 MFC: Device Setpoint,LF N2 MFC: Actual Flow,O2 MFC: Gas Selection,O2 MFC: Mode Selection,O2 MFC: Setpoint Entry,O2 MFC: Device Gas,O2 MFC: Device Mode,O2 MFC: Device Setpoint,O2 MFC: Actual Flow,Humid N2 MFC: Gas Selection,Humid N2 MFC: Mode Selection,Humid N2 MFC: Setpoint Entry,Humid N2 MFC: Device Gas,Humid N2 MFC: Device Mode,Humid N2 MFC: Device Setpoint,Humid N2 MFC: Actual Flow,MFM: Gas Selection,MFM: Device Gas,MFM: Actual Flow,Cl2 MFC: Mode Selection,Cl2 MFC: Setpoint Entry,Cl2 MFC: Device Mode,Cl2 MFC: Device Setpoint,Cl2 MFC: Actual Flow,Cl2 MFC: Zero Offset (sccm),Picarro Bypass Valve: Position Selection,Picarro Bypass Valve: Actual Position,Tank Selector Valve: Position Selection,Tank Selector Valve: Actual Position,Bubbler Bypass Valve: Position Selection,Bubbler Bypass Valve: Actual Position,Humidity Probe: Rel. Humidity (%)
02/11/2025,11:48:00,0.02,274.2,1.3,No Reading,Off,Off,215.399,0.035,0.058,270.694,2.1,241.036,0.381,191.029,270.694,1.004,2.79,2.0939,437.5138,0.7366,N2,Setpoint,1.2,N2,Setpoint,1.2,1.2,N2,Setpoint,2.0,N2,Setpoint,2.0,2.0,Ar,Setpoint,40.0,Ar,Setpoint,40.0,40.1,N2,Setpoint,48,N2,Setpoint,48.0,48.9,Air,Air,217.4,Setpoint,60,Setpoint,60.0,59.8,0,Picarro,No Reading,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,62.64
02/11/2025,11:48:10,0.02,274.6,1.3,No Reading,Off,Off,217.422,0.031,-0.068,269.989,1.977,222.979,0.322,191.029,269.989,1.004,2.79,2.0942,436.996,0.7346,N2,Setpoint,1.2,N2,Setpoint,1.2,1.2,N2,Setpoint,2.0,N2,Setpoint,2.0,2.0,Ar,Setpoint,40.0,Ar,Setpoint,40.0,39.9,N2,Setpoint,48,N2,Setpoint,48.0,49.7,Air,Air,217.9,Setpoint,60,Setpoint,60.0,59.9,0,Picarro,No Reading,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,62.64
02/11/2025,11:48:20,0.02,274.7,1.3,No Reading,Off,Off,217.422,0.031,-0.068,269.989,1.977,222.979,0.322,191.029,269.989,1.004,2.79,2.0933,436.8517,0.7335,N2,Setpoint,1.2,N2,Setpoint,1.2,1.2,N2,Setpoint,2.0,N2,Setpoint,2.0,2.0,Ar,Setpoint,40.0,Ar,Setpoint,40.0,39.9,N2,Setpoint,48,N2,Setpoint,48.0,49.6,Air,Air,217.1,Setpoint,60,Setpoint,60.0,59.9,0,Picarro,No Reading,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,62.63
02/11/2025,11:48:30,0.02,275.0,1.3,No Reading,Off,Off,219.029,0.02,0.011,268.638,2.394,227.893,0.418,191.029,268.638,1.004,2.791,2.0929,436.1058,0.7345,N2,Setpoint,1.2,N2,Setpoint,1.2,1.2,N2,Setpoint,2.0,N2,Setpoint,2.0,2.0,Ar,Setpoint,40.0,Ar,Setpoint,40.0,40.1,N2,Setpoint,48,N2,Setpoint,48.0,49.4,Air,Air,217.3,Setpoint,60,Setpoint,60.0,60.0,0,Picarro,No Reading,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,62.63
02/11/2025,11:48:40,0.02,275.3,1.3,No Reading,Off,Off,221.177,0.042,-0.041,265.036,2.034,232.584,0.475,191.029,265.036,1.004,2.79,2.0929,437.305,0.7327,N2,Setpoint,1.2,N2,Setpoint,1.2,1.2,N2,Setpoint,2.0,N2,Setpoint,2.0,2.0,Ar,Setpoint,40.0,Ar,Setpoint,40.0,40.1,N2,Setpoint,48,N2,Setpoint,48.0,49.4,Air,Air,217.8,Setpoint,60,Setpoint,60.0,60.0,0,Picarro,No Reading,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,62.61
02/11/2025,11:48:50,0.02,275.3,1.3,No Reading,Off,Off,222.391,0.03,-0.046,269.024,2.606,151.995,0.438,191.029,269.024,1.004,2.79,2.0929,435.7163,0.7325,N2,Setpoint,1.2,N2,Setpoint,1.2,1.2,N2,Setpoint,2.0,N2,Setpoint,2.0,2.0,Ar,Setpoint,40.0,Ar,Setpoint,40.0,40.0,N2,Setpoint,48,N2,Setpoint,48.0,48.0,Air,Air,218.3,Setpoint,60,Setpoint,60.0,60.0,0,Picarro,No Reading,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,62.62
02/11/2025,11:49:00,0.02,275.5,1.3,No Reading,Off,Off,224.661,0.048,0.011,268.987,2.888,169.174,0.398,191.029,268.987,1.004,2.789,2.0934,436.2086,0.7324,N2,Setpoint,1.2,N2,Setpoint,1.2,1.2,N2,Setpoint,2.0,N2,Setpoint,2.0,2.0,Ar,Setpoint,40.0,Ar,Setpoint,40.0,39.8,N2,Setpoint,48,N2,Setpoint,48.0,46.4,Air,Air,217.2,Setpoint,60,Setpoint,60.0,60.0,0,Picarro,No Reading,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,62.61
02/11/2025,11:49:10,0.02,275.6,1.3,No Reading,Off,Off,224.661,0.048,0.011,268.987,2.888,169.174,0.398,191.029,268.987,1.004,2.789,2.0934,434.834,0.7307,N2,Setpoint,1.2,N2,Setpoint,1.2,1.2,N2,Setpoint,2.0,N2,Setpoint,2.0,2.0,Ar,Setpoint,40.0,Ar,Setpoint,40.0,40.0,N2,Setpoint,48,N2,Setpoint,48.0,49.3,Air,Air,217.7,Setpoint,60,Setpoint,60.0,59.9,0,Picarro,No Reading,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,62.60
02/11/2025,11:49:20,0.02,275.7,1.3,No Reading,Off,Off,224.792,0.056,0.023,268.864,2.036,237.938,0.53,191.029,268.864,1.004,2.79,2.0934,435.0134,0.7305,N2,Setpoint,1.5,N2,Setpoint,1.5,1.4,N2,Setpoint,2.0,N2,Setpoint,2.0,2.0,Ar,Setpoint,40.0,Ar,Setpoint,40.0,40.0,N2,Setpoint,48,N2,Setpoint,48.0,46.6,Air,Air,217.7,Setpoint,60,Setpoint,60.0,60.0,0,Picarro,No Reading,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,62.59
02/11/2025,11:49:30,0.02,275.8,1.3,No Reading,Off,Off,226.294,0.048,0.061,270.175,2.536,196.134,0.546,190.999,270.175,1.004,2.789,2.0935,434.7448,0.7308,N2,Setpoint,1.5,N2,Setpoint,1.5,1.5,N2,Setpoint,2.0,N2,Setpoint,2.0,2.0,Ar,Setpoint,40.0,Ar,Setpoint,40.0,40.0,N2,Setpoint,48,N2,Setpoint,48.0,46.4,Air,Air,219.4,Setpoint,60,Setpoint,60.0,60.0,0,Picarro,No Reading,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,62.59
