,experiment_name,start_time,flow_rate,reaction_volume,tags,FTIR: CH4 (ppm) baseline,FTIR: CH4 (ppm) conversion,FTIR: CH4 (ppm) variance,Cl2 LabJack: Cl2 Node A (ppm) baseline,Cl2 LabJack: Cl2 Node A (ppm) conversion,Cl2 LabJack: Cl2 Node A (ppm) variance
0,09-27-24 Humidity Sweep (10-60%),25.35,200,510.3512955000001,UV_distance_conv=50,28.724817921616577,17.870678498445137,0.0005414069679215143,29.2025806451613,18.901561302027957,0.0030687786642000885
1,09-27-24 Humidity Sweep (10-60%),85.47,200,510.3512955000001,UV_distance_conv=50,28.903409356525827,17.524568057221295,0.0012352812404431192,30.74064516129032,20.36354003612282,0.003314695340501857
2,09-27-24 Humidity Sweep (10-60%),145.83,200,510.3512955000001,UV_distance_conv=50,29.15125858705859,17.15016775150131,0.00046401692924653485,31.41677419354839,21.25055431681644,0.002630716460477164
3,09-27-24 Humidity Sweep (10-60%),206.05,200,510.3512955000001,UV_distance_conv=50,29.186057001523654,16.91183503381798,0.0005997484541479439,32.11612903225805,21.844343644752463,0.002733202296990086
4,09-27-24 Humidity Sweep (10-60%),266.28,200,510.3512955000001,UV_distance_conv=50,29.15357155184481,17.122438654918007,0.0007324479859423499,32.48258064516129,22.253345266352767,0.0035138705823410474
5,09-27-24 Humidity Sweep (10-60%),326.55,200,510.3512955000001,UV_distance_conv=50,29.542186122926577,17.48741324181492,0.0007632869765041028,32.807741935483854,22.60813859884501,0.0033298647242456323
6,09-27-24 Humidity Sweep (10-60%),386.85,200,510.3512955000001,UV_distance_conv=50,29.417516102653288,17.458948830929486,0.0008381796977500824,33.17161290322582,22.787096774193564,0.002878335067637925
7,09-28-24 Vary Cl2 (20-90 ppm) at Fixed CH4,23.85,200,510.3512955000001,UV_distance_conv=50,28.556933852205198,8.694295844793416,0.000790039134400211,11.62838709677419,7.71354838709677,0.003211765522025745
8,09-28-24 Vary Cl2 (20-90 ppm) at Fixed CH4,94.05,200,510.3512955000001,UV_distance_conv=50,28.234639694577723,15.855918173307968,0.0006818453243462155,26.807741935483868,18.39483870967742,0.003927337594767365
9,09-28-24 Vary Cl2 (20-90 ppm) at Fixed CH4,164.18,200,510.3512955000001,UV_distance_conv=50,28.47066730693539,23.112557053104126,0.0005116400316871132,45.18451612903227,28.856774193548404,0.002509386056191295
10,09-28-24 Vary Cl2 (20-90 ppm) at Fixed CH4,234.45,200,510.3512955000001,UV_distance_conv=50,28.603286756313118,28.109254455579496,0.0012185041203235656,63.66709677419357,35.02967741935486,0.0023175858480749853
11,09-28-24 Vary Cl2 (20-90 ppm) at Fixed CH4,304.72,200,510.3512955000001,UV_distance_conv=50,28.201108431347016,30.03245306122772,0.0003287862477501394,99.94322580645164,38.06451612903227,0.0031833506763786117
12,09-28-24 Vary Cl2 (20-90 ppm) at Fixed CH4,375.02,200,510.3512955000001,UV_distance_conv=50,28.13466365120461,15.817335605983345,0.0001760125110277087,30.08774193548388,20.412903225806456,0.0009590010405827629
13,09-28-24 Vary Cl2 and CH4 1-to-1 (45-90 ppm),16.35,200,510.3512955000001,UV_distance_conv=50,44.0899027462698,26.059705365803108,0.00042007756576681803,47.450322580645185,32.936774193548416,0.001368574401664963
14,09-28-24 Vary Cl2 and CH4 1-to-1 (45-90 ppm),91.57,200,510.3512955000001,UV_distance_conv=50,59.99394799677673,36.21934986080616,0.0011568568005725208,64.91870967741937,45.481290322580676,0.0026923066250435436
15,09-28-24 Vary Cl2 and CH4 1-to-1 (45-90 ppm),166.95,200,510.3512955000001,UV_distance_conv=50,91.68091289156642,48.70487740391198,0.027403068156784217,109.55870967741932,81.9870967741935,0.0017066666666665671
